track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703
LALA,Myke Towers,1,2023,3,23,1474,48,133716286
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112
Columbia,Quevedo,1,2023,7,7,714,43,58149378
fukumean,Gunna,1,2023,5,15,1096,83,95217315
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438
Super Shy,NewJeans,1,2023,7,7,422,55,58255150
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716
Daylight,David Kushner,1,2023,4,14,3528,98,387570742
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234
Like Crazy,Jimin,1,2023,3,24,596,68,363369738
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954
Rush,Troye Sivan,1,2023,7,13,864,78,22581161
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385
S91,Karol G,1,2023,7,14,525,41,16011326
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728
Overdrive,Post Malone,1,2023,7,14,410,36,14780425
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540
Take Two,BTS,1,2023,6,9,674,47,118482347
Chemical,Post Malone,1,2023,4,14,2528,39,172825906
New Jeans,NewJeans,1,2023,7,7,77,35,29562220
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123
Tattoo,Loreen,1,2023,2,25,2988,59,201660859
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746
OMG,NewJeans,1,2023,1,2,1783,27,430977451
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544
Bye,Peso Pluma,1,2023,5,26,324,14,95053634
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144
Cheques,Shubh,1,2023,5,19,67,8,47956378
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040
S-Class,Stray Kids,1,2023,6,2,290,19,65496046
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589
FLOWER,JISOO,1,2023,3,31,839,18,232896922
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328
Cupido,Tini,1,2023,2,14,1240,24,217672943
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115
Haegeum,Agust D,1,2023,4,21,244,12,118810253
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964
I AM,IVE,1,2023,4,10,366,15,123132751
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075
Super,SEVENTEEN,1,2023,4,24,271,12,91221625
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276
HAPPY,NF,1,2023,3,25,660,0,52722996
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800
Sial,Mahalini,1,2023,1,23,134,4,166570053
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,11,93438910
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272
WANDA,Quevedo,1,2023,1,20,888,22,175399345
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3,166,0,32526947
LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836
People,Libianca,1,2022,12,2,3506,56,373199958
golden hour,JVKE,1,2022,7,15,4511,36,751134527
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093
Here With Me,d4vd,1,2022,7,17,3246,23,635412045
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818
Snooze,SZA,1,2022,12,9,2839,25,399686758
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836
Ditto,NewJeans,1,2022,12,19,1154,22,397582059
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651
Players,Coi Leray,1,2022,11,30,4096,6,335074782
Normal,Feid,1,2022,7,8,2461,36,459276435
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978
Komang,Raim Laode,1,2022,8,16,158,4,137123880
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952
